objectid,title,type,date,archival_date,towns_covered,county_covered,display_template,format
directories0001,Aberdeen,phone book,1957,1957,Aberdeen; Springfield,,record,record
directories0002,Aberdeen,phone book,1959,1959,Aberdeen; Springfield,,record,record
directories0003,Aberdeen,phone book,1960,1960,Aberdeen; Springfield,,record,record
directories0004,Aberdeen,phone book,1967,1967,Aberdeen; Springfield,,record,record
directories0005,Aberdeen,phone book,1969,1969,Aberdeen; Springfield,,record,record
directories0006,Aberdeen,phone book,1977,1977,Aberdeen; Springfield,,record,record
directories0007,Aberdeen,phone book,1981,1981,Aberdeen; Springfield,,record,record
directories0008,Aberdeen,phone book,1972,1972,Aberdeen; Springfield,,record,record
directories0009,Aberdeen,phone book,1973,1973,Aberdeen; Springfield,,record,record
directories0010,Aberdeen,phone book,1976,1976,Aberdeen; Springfield,,record,record
directories0011,Aberdeen,phone book,1982,1982,Aberdeen; Springfield,,record,record
directories0012,Aberdeen,phone book,1985,1985,Aberdeen; Springfield,,record,record
directories0013,Aberdeen,phone book,1986,1986,Aberdeen; Springfield,,record,record
directories0014,Aberdeen,phone book,1987,1987,Aberdeen; Springfield,,record,record
directories0015,Aberdeen,phone book,1988,1988,Aberdeen; Springfield,,record,record
directories0016,Aberdeen,phone book,1990,1990-1991,Aberdeen; Springfield,,record,record
directories0017,Aberdeen,phone book,1991,1991-1992,Aberdeen; Springfield,,record,record
directories0018,Aberdeen,phone book,1992,1992,Aberdeen; Springfield,,record,record
directories0019,American Falls,phone book,1953,1953,American Falls; Rockland; Aberdeen,,record,record
directories0020,American Falls,phone book,1955,1955,American Falls; Rockland,,record,record
directories0021,American Falls,phone book,1958,1958,American Falls; Rockland,,record,record
directories0022,American Falls,phone book,1959,1959,American Falls; Rockland,,record,record
directories0023,American Falls,phone book,1960,1960,American Falls; Rockland,,record,record
directories0024,American Falls,phone book,1961,1961,American Falls; Rockland,,record,record
directories0025,American Falls,phone book,1962,1962,American Falls; Rockland,,record,record
directories0026,American Falls,phone book,1965,1965,American Falls; Rockland,,record,record
directories0027,American Falls,phone book,1967,1967,American Falls; Rockland,,record,record
directories0028,American Falls,phone book,1968,1968,American Falls; Rockland,,record,record
directories0029,American Falls,phone book,1970,1970,American Falls; Rockland,,record,record
directories0030,Arco,phone book,1952,1952,Arco; Mackay; Challis; Leslie; Darlington; Howe; Clayton; Moore,,record,record
directories0031,Arco,phone book,1954,1954,Arco; Mackay; Challis; Moore; Howe; Chilly; Leslie; Darlington,,record,record
directories0032,Arco,phone book,1956,1956,Arco; Mackay; Challis; Moore; Darlington; Chilly; Leslie,,record,record
directories0033,Arco,phone book,1957,1957,Arco; Mackay; Challis; May; Moore; Clayton; Leslie; Chilly; Darlington,,record,record
directories0034,Arco,phone book,1958,1958,Arco; Mackay; Challis; May; Moore; Clayton; Howe; Chilly; Leslie; Darlington; Patterson; Ellis,,record,record
directories0035,Arco,phone book,1960,1960,Arco; Mackay; Challis; May; Moore; Butte City; Darlington; Clayton; Howe; Chilly; Leslie; Ellis; Patterson,,record,record
directories0036,Arco,phone book,1961,1961,Arco; Mackay; Challis; May; Moore; Butte City; Clayton; Ellis; Patterson; Howe; Chilly; Leslie; Darlington; Barton Flat,,record,record
directories0037,Arco,phone book,1962,1962,Arco; Mackay; Challis; May; Moore; Butte City; Clayton; Ellis; Chilly; Howe; Darlington; Leslie; Barton Flat,,record,record
directories0038,Arco,phone book,1963,1963,Arco; Mackay; Challis; May; Moore; Darlington; Butte City; Howe; Ellis; Clayton; Patterson; Chilly; Leslie; Barton Flat,,record,record
directories0039,Arco,phone book,1965,1965,Arco; Mackay; Challis; May; Moore; Butte City; Ellis; Clayton; Chilly; Howe; Darlington; Leslie,,record,record
directories0040,Arco,phone book,1967,1967,Arco; Mackay; Challis; Clayton; May; Moore; Clayton; Ellis; Howe; Chilly; Darlington; Leslie,,record,record
directories0041,Arco,phone book,1968,1968,Arco; Challis; Clayton; Howe; Mackay; May; Moore; Challis; Clayton; Howe; Chilly; Darlington; Leslie,,record,record
directories0042,Arco,phone book,1969,1969,Arco; Challis; Clayton; Howe; Mackay; May; Moore; Challis; Clayton; Howe; Chilly; Darlington; Leslie,,record,record
directories0043,Arco,phone book,1973,1973,Arco; Challis; Clayton; Howe; Mackay; May; Moore; Howe; Challis; Clayton; Leslie; Darlington; Chilly,,record,record
directories0044,Blackfoot,phone book,1924,1924,Blackfoot; Arco; Mackay; Moore; Riverside; Thomas; Rose; Moreland; Pingree; Rockford; Groveland; Wapello; Leslie; Darlington; Chilly,,record,record
directories0045,Blackfoot,phone book,1951,1951,Blackfoot; Arco; Mackay; Challis; Springfield; Pingree; Rockford; Riverside; Groveland; Wapello; Moreland; Rose; Thomas; Lavaside; Kimball; Moore; Clayton; Darlington; Leslie,,record,record
directories0046,Blackfoot,phone book,1954,1954,Blackfoot; Springfield; Riverside; Groveland; Wapello; Moreland; Thomas; Wapello; Pingree; Rockford; Lavaside; Firth; Kimball; Atomic City; Sterling,,record,record
directories0047,Blackfoot,phone book,1956,1956,Blackfoot; Springfield; Pingree; Wapello; Rockford; Riverton; Groveland; Moreland; Thomas; Rose; Riverside; McDonaldville; Gibson; Lavaside; Moreland; Sterling,,record,record
directories0048,Blackfoot,phone book,1957,1957,Blackfoot; Rose; Riverside; Thomas; Groveland; Moreland; Lavaside; Pingree; McDonaldville; Kimball; Rockford; Wapello,,record,record
directories0049,Blackfoot,phone book,1958,1958,Blackfoot; Moreland; Riverside; Rockford; Groveland; Thomas; Pingree; Wapello; Kimball; Rose; Lavaside,,record,record
directories0050,Blackfoot,directory,1960,1960,Blackfoot; Aberdeen; Ashton; Atomic City; Basalt; Challis; Firth; Fort Hall; Goshen; Groveland; Howe; Moreland; Pingree; Rigby; Riverside; Roberts; Shelley; Springfield; Sterling; Sugar City; Thomas; Ucon; Wapello; Woodville,Bingham County,record,record
directories0051,Blackfoot,phone book,1960,1960,Blackfoot; Groveland; Moreland; Thomas; Riverside; Firth; Wapello; Rockford; Lavaside; Kimball; Rose; Pingree; Gibson,,record,record
directories0052,Blackfoot,phone book,1961,1961,Blackfoot; Rockford; Moreland; Groveland; Riverside; Wapello; Pingree; Riverton; Thomas; Atomic City; Firth; Rockford; Gibson,,record,record
directories0053,Blackfoot,phone book,1962,1962,Blackfoot; Groveland; Lavaside; Pingree; Moreland; Rockford; Riverton; Wapello; Thomas; Riverside; Rose; McDonaldville; Pendlebury; Kimball; Atomic City,,record,record
directories0054,Blackfoot,phone book,1963,1963,Blackfoot; Moreland; Groveland; Firth; Pingree; Thomas; Riverton; Riverside; Lavaside; Wapello; Rockford; Rose; Gibson,,record,record
directories0055,Blackfoot,phone book,1965,1965,Blackfoot; Wapello; Groveland; Moreland; Rose; Pingree; Kimball; Riverside; Riverton; Gibson; Taber; Rockford; Firth,,record,record
directories0056,Blackfoot,phone book,1967,1967,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0057,Blackfoot,phone book,1968,1968,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0058,Blackfoot,phone book,1970,1970,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0059,Blackfoot,directory,1971,1971,Blackfoot; Aberdeen; Ashton; Atomic City; Basalt; Challis; Firth; Fort Hall; Goshen; Groveland; Howe; Moreland; Pingree; Rigby; Riverside; Roberts; Shelley; Springfield; Sterling; Sugar City; Thomas; Ucon; Wapello; Woodville,Bingham County,record,record
directories0060,Blackfoot,phone book,1972,1972,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0061,Blackfoot,phone book,1973,1973,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0062,Blackfoot,directory,1973,1973,Blackfoot; Aberdeen; Ashton; Atomic City; Basalt; Challis; Firth; Fort Hall; Goshen; Groveland; Howe; Moreland; Pingree; Rigby; Riverside; Roberts; Shelley; Springfield; Sterling; Sugar City; Thomas; Ucon; Wapello; Woodville,Bingham County,record,record
directories0063,Blackfoot,phone book,1974,1974,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0064,Blackfoot,directory,1974,1974,Blackfoot; Aberdeen; Ashton; Atomic City; Basalt; Challis; Firth; Fort Hall; Goshen; Groveland; Howe; Moreland; Pingree; Rigby; Riverside; Roberts; Shelley; Springfield; Sterling; Sugar City; Thomas; Ucon; Wapello; Woodville,Bingham County,record,record
directories0065,Blackfoot,phone book,1975,1975,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0066,Blackfoot,phone book,1976,1976,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
directories0067,Blackfoot,phone book,1977,1977,Blackfoot; Basalt; Collins; Firth; Gibson; Goshen; Groveland; Jameston; Kimball; Lavaside; McDonaldville; Moreland; Pingree; Presto; Riverside; Riverton; Rockford; Rose; Shelley; Taber; Taylor; Taylorville; Thomas; Wapello; Woodville,,record,record
